UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,WEAPON18,DRUG18,LIQUOR18,WEAPON19,DRUG19,LIQUOR19,WEAPON20,DRUG20,LIQUOR20,FILTER18,FILTER19,FILTER20
100654001,Alabama A & M University,Main Campus,4900 MERIDIAN ST,NORMAL,AL,35762,1,"Public, 4-year or above",2302,3675,5977,8,30,1,12,28,0,4,9,0,1,1,1
100663001,University of Alabama at Birmingham,Main Campus,"ADMINISTRATION BLDG SUITE 1070, 701 20th Street So",BIRMINGHAM,AL,352940110,1,"Public, 4-year or above",8243,14320,22563,4,15,0,2,29,0,0,12,0,1,1,1
100663002,University of Alabama at Birmingham,Huntsville Regional Medical Campus,301 Governors Drive SW,Huntsville,AL,35801,1,"Public, 4-year or above",8243,14320,22563,0,0,0,0,0,0,0,0,0,1,1,1
100706001,University of Alabama in Huntsville,Main Campus,301 SPARKMAN DR,HUNTSVILLE,AL,35899,1,"Public, 4-year or above",5651,4348,9999,1,4,0,0,12,0,0,7,0,1,1,1
100724001,Alabama State University,Main Campus,915 SOUTH JACKSON ST,MONTGOMERY,AL,361040271,1,"Public, 4-year or above",1435,2637,4072,2,12,0,6,12,0,0,5,0,1,1,1
100751001,The University of Alabama,Main Campus,1110 Jackson Ave,TUSCALOOSA,AL,354870180,1,"Public, 4-year or above",16141,21699,37840,0,83,2,5,59,1,1,37,0,1,1,1
100751002,The University of Alabama,University of Alabama Gadsden Center,P.O. Box 1280,Gadsden,AL,359021280,1,"Public, 4-year or above",16141,21699,37840,0,0,0,0,0,0,0,0,0,1,1,1
100760001,Central Alabama Community College,Alexander City Campus,1675 Cherokee Rd,Alexander City,AL,35010,4,"Public, 2-year",643,903,1546,0,0,0,0,0,0,0,0,0,1,1,1
100760002,Central Alabama Community College,Childersburg Campus,34091 Highway 280,Childersburg,AL,35044,4,"Public, 2-year",643,903,1546,0,0,0,0,0,0,0,0,0,1,1,1
100760003,Central Alabama Community College,Talladega Campus,1009 South Street East,Talladega,AL,35160,4,"Public, 2-year",643,903,1546,0,0,0,0,0,0,0,0,0,1,1,1
100760004,Central Alabama Community College,Pratt's Mill Center,2078 Fairview Ave  ,Prattville,AL,36066,4,"Public, 2-year",643,903,1546,,,,0,0,0,0,0,0,0,1,1
100812001,Athens State University,Athens State University Main Campus,300 N BEATY ST,ATHENS,AL,35611,1,"Public, 4-year or above",897,1970,2867,0,0,0,0,0,0,0,0,0,1,1,1
100830001,Auburn University at Montgomery,Auburn University Montgomery,7400 EAST DRIVE,MONTGOMERY,AL,361173596,1,"Public, 4-year or above",1770,3442,5212,1,4,0,0,2,0,2,2,0,1,1,1
100858001,Auburn University,Auburn University,23 Samford Hall,Auburn,AL,36849,1,"Public, 4-year or above",15448,15289,30737,6,54,24,3,42,44,4,48,24,1,1,1
100858002,Auburn University,Joseph S Bruno Auburn Abroad Italy,Via del Parco 149,Ariccia,,00072,1,"Public, 4-year or above",15448,15289,30737,0,0,0,0,0,0,0,0,0,1,1,1
100858003,Auburn University,Solon Dixon Forestry Education Center,12130 Dixon Center Road,Andalusia,AL,36420,1,"Public, 4-year or above",15448,15289,30737,0,0,0,0,0,0,0,0,0,1,1,1
100858004,Auburn University,Rural Studio,8448  AL Hwy 61,Newbern,AL,36765,1,"Public, 4-year or above",15448,15289,30737,0,0,0,0,0,0,0,0,0,1,1,1
100858005,Auburn University,Harris Early Learning Center,1413 7th Avenue North,Birmingham,AL,35203,1,"Public, 4-year or above",15448,15289,30737,0,0,0,0,0,0,0,0,0,1,1,1
100858006,Auburn University,Auburn University Regional Airport,2150 Mike Hubbard Blvd,Auburn,AL,36830,1,"Public, 4-year or above",15448,15289,30737,0,0,0,0,0,0,0,0,0,1,1,1
100858007,Auburn University,E W Shell Fisheries Center North,2101 North College Street,Auburn,AL,36830,1,"Public, 4-year or above",15448,15289,30737,0,0,0,0,0,0,0,0,0,1,1,1
100858008,Auburn University,Charles C. Miller Poultry Research and Education Center,1088 Auburn Lakes Road,Auburn,AL,36830,1,"Public, 4-year or above",15448,15289,30737,,,,,,,0,0,0,0,0,1
100858010,Auburn University,Harrison School of Pharmacy-Mobile,"650 Clinic Drive, Room 2100",Mobile,AL,36688,1,"Public, 4-year or above",15448,15289,30737,0,0,0,0,0,0,0,0,0,1,1,1
100858011,Auburn University,Harrison School of Pharmacy- Montgomery,101 South Union Street,Montgomery,AL,36104,1,"Public, 4-year or above",15448,15289,30737,0,0,0,0,0,0,0,0,0,1,1,1
100858012,Auburn University,The Center for Architecture and Urban Studies,221 20th Street North,Birmingham,AL,35203,1,"Public, 4-year or above",15448,15289,30737,0,0,0,0,0,0,0,0,0,1,1,1
100858013,Auburn University,Auburn University Shellfish Laboratory,150 Aggasiz Street,Dauphin Island,AL,36528,1,"Public, 4-year or above",15448,15289,30737,0,0,0,0,0,0,0,0,0,1,1,1
100858014,Auburn University,Futures Studio,301 Conti Street,Mobile,AL,36688,1,"Public, 4-year or above",15448,15289,30737,,,,,,,0,0,0,0,0,1
100937001,Birmingham-Southern College,Birmingham-Southern College,900 Arkadelphia Road,Birmingham,AL,35254,2,"Private nonprofit, 4-year or above",523,606,1129,0,0,0,0,0,0,0,0,0,1,1,1
101028001,Chattahoochee Valley Community College,Main Campus,2602 COLLEGE DR,PHENIX CITY,AL,36869,4,"Public, 2-year",447,952,1399,0,0,0,0,0,0,0,0,0,1,1,1
101116001,South University-Montgomery,South University - Montgomery,5355 Vaughn Road,MONTGOMERY,AL,361161120,3,"Private for-profit, 4-year or above",65,284,349,0,0,0,0,0,0,0,0,0,1,1,1
101143001,Enterprise State Community College,Main Campus,600 PLAZA DR,ENTERPRISE,AL,363301300,4,"Public, 2-year",971,837,1808,0,0,0,0,0,0,0,0,0,1,1,1
101143002,Enterprise State Community College,Alabama Aviation Center - Ozark,3405 Highway 231 South,Ozark,AL,36360,4,"Public, 2-year",971,837,1808,0,0,0,0,1,0,0,1,0,1,1,1
101161001,Coastal Alabama Community College,Coastal Alabama Community College Main Campus - Bay Minette,1900 U.S. Hwy 31 South,Bay Minette,AL,365072698,4,"Public, 2-year",2798,3855,6653,2,5,0,0,1,0,0,2,0,1,1,1
101161002,Coastal Alabama Community College,Coastal Alabama Community College - Fairhope Campus,440 Fairhope Avenue,Fairhope,AL,36532,4,"Public, 2-year",2798,3855,6653,0,0,0,0,0,0,0,0,0,1,1,1
101161003,Coastal Alabama Community College,Coastal Alabama Community College - Gulf Shores Campus,3301 Gulf Shores Parkway,Gulf Shores,AL,36542,4,"Public, 2-year",2798,3855,6653,0,0,0,0,0,0,0,0,0,1,1,1
101161004,Coastal Alabama Community College,Coastal Alabama Community College - Brewton Campus,220 ALCO DR,BREWTON,AL,36426,4,"Public, 2-year",2798,3855,6653,0,0,0,0,2,0,0,1,0,1,1,1
101161005,Coastal Alabama Community College,Coastal Alabama Community College - Atmore Campus,6574 Highway 21,Atmore,AL,36502,4,"Public, 2-year",2798,3855,6653,0,0,0,0,0,0,0,0,0,1,1,1
101161006,Coastal Alabama Community College,Coastal Alabama Community College - Monroeville Campus,2800 South Alabama Avenue,MONROEVILLE,AL,364602000,4,"Public, 2-year",2798,3855,6653,0,0,0,0,0,0,0,0,0,1,1,1
101161007,Coastal Alabama Community College,Coastal Alabama Community College - Thomasville campus,30755 Hwy 43 South,Thomasville,AL,367842000,4,"Public, 2-year",2798,3855,6653,0,0,0,1,0,0,0,0,0,1,1,1
101161008,Coastal Alabama Community College,Coastal Alabama Community College - GILBERTOWN CAMPUS,251 College Street,Gilbertown,AL,36908,4,"Public, 2-year",2798,3855,6653,0,0,0,0,0,0,0,0,0,1,1,1
101161009,Coastal Alabama Community College,Coastal Alabama Community College - JACKSON CAMPUS,235 College Avenue,Jackson,AL,36545,4,"Public, 2-year",2798,3855,6653,0,0,0,0,0,0,0,0,0,1,1,1
101161011,Coastal Alabama Community College,Alabama Aviation Center - Mobile,1975 Avenue C,Mobile,AL,366151403,4,"Public, 2-year",2798,3855,6653,0,0,0,0,0,0,0,0,0,1,1,1
101189001,Faulkner University,Main Campus,5345 ATLANTA HWY,MONTGOMERY,AL,361093378,2,"Private nonprofit, 4-year or above",1187,1774,2961,0,0,0,0,0,0,0,0,0,1,1,1
101189002,Faulkner University,FAULKNER UNIVERSITY-BIRMINGHAM,4524 Southlake Parkway,Hoover,AL,352444506,2,"Private nonprofit, 4-year or above",1187,1774,2961,0,0,0,0,0,0,0,0,0,1,1,1
101189003,Faulkner University,FAULKNER UNIVERSITY-HUNTSVILLE,420 WYNN DR,HUNTSVILLE,AL,358051963,2,"Private nonprofit, 4-year or above",1187,1774,2961,0,0,0,0,0,0,0,0,0,1,1,1
101189004,Faulkner University,FAULKNER UNIVERSITY-MOBILE,3943 Airport Boulevard,MOBILE,AL,366084112,2,"Private nonprofit, 4-year or above",1187,1774,2961,0,0,0,0,0,0,0,0,0,1,1,1
101240001,Gadsden State Community College,Gadsden State Community College,PO Box 227,GADSDEN,AL,359020227,4,"Public, 2-year",1517,2476,3993,0,2,0,0,1,1,0,0,1,1,1,1
101277001,New Beginning College of Cosmetology,Main Campus,421 Martling Rd,Albertville,AL,35951,9,"Private for-profit, less-than 2-year",1,85,86,0,0,0,0,0,0,0,0,0,1,1,1
101286001,George C Wallace Community College-Dothan,Wallace Campus,1141 Wallace Drive,DOTHAN,AL,363039234,4,"Public, 2-year",1199,2482,3681,0,0,0,0,0,0,0,0,0,1,1,1
101286004,George C Wallace Community College-Dothan,Sparks Campus,3235 South Eufaula Ave.,Eufaula,AL,36027,4,"Public, 2-year",1199,2482,3681,0,0,0,0,0,0,0,0,0,1,1,1
101295001,George C Wallace State Community College-Hanceville,Main Campus,801 MAIN ST NW,HANCEVILLE,AL,350772000,4,"Public, 2-year",1600,3163,4763,0,0,0,0,1,0,0,1,0,1,1,1
101301001,George C Wallace State Community College-Selma,Main Campus,3000 EARL GOODWIN PARKWAY,SELMA,AL,367032808,4,"Public, 2-year",458,858,1316,0,0,0,0,0,0,0,0,0,1,1,1
101301002,George C Wallace State Community College-Selma,The New Era Building ,918 South Cedar Street,Demopolis,AL,36732,4,"Public, 2-year",458,858,1316,,,,,,,0,0,0,0,0,1
101301003,George C Wallace State Community College-Selma,The Demopolis Campus,186 Fields of Dreams Dr,Gallion,AL,36742,4,"Public, 2-year",458,858,1316,,,,,,,0,0,0,0,0,1
101365001,Herzing University-Birmingham,Main Campus,280 WEST VALLEY AVENUE,BIRMINGHAM,AL,35209,2,"Private nonprofit, 4-year or above",128,491,619,0,0,0,0,0,0,0,0,0,1,1,1
101435001,Huntingdon College,Main Campus,1500 East Fairview Avenue,Montgomery,AL,361062148,2,"Private nonprofit, 4-year or above",463,457,920,0,0,0,1,0,0,0,0,0,1,1,1
101453001,Heritage Christian University,Main Campus,"3625 HELTON DR, PO Box HCU",FLORENCE,AL,35630,2,"Private nonprofit, 4-year or above",105,5,110,0,0,0,0,0,0,0,0,0,1,1,1
101462001,J. F. Drake State Community and Technical College,Main Campus,3421 MERIDIAN ST N,HUNTSVILLE,AL,358111544,4,"Public, 2-year",341,484,825,0,0,0,0,0,0,0,0,0,1,1,1
101471001,J F Ingram State Technical College,J.F. Ingram State Technical College,5375 Ingram Rd,Deatsville,AL,36022,4,"Public, 2-year",314,85,399,0,0,0,0,0,0,0,0,0,1,1,1
101480001,Jacksonville State University,Main Campus,700 Pelham Road North,Jacksonville,AL,36265,1,"Public, 4-year or above",3584,5654,9238,0,14,4,0,7,3,0,7,0,1,1,1
101505001,Jefferson State Community College,Jefferson,2601 CARSON RD,BIRMINGHAM,AL,352153098,4,"Public, 2-year",3063,5463,8526,0,0,0,0,0,0,0,0,0,1,1,1
101505002,Jefferson State Community College,Shelby Campus,4600 Valleydale Road,Birmingham,AL,35242,4,"Public, 2-year",3063,5463,8526,,,,0,2,0,0,0,0,0,1,1
101505003,Jefferson State Community College,St. Clair Campus,500 College Drive,Pell City,AL,35125,4,"Public, 2-year",3063,5463,8526,,,,0,0,0,0,0,0,0,1,1
101505004,Jefferson State Community College,Chilton Campus,1850 Lay Dam Road,Clanton,AL,35045,4,"Public, 2-year",3063,5463,8526,,,,0,0,0,0,0,0,0,1,1
101514001,John C Calhoun State Community College,Main Campus,HWY 31 N,DECATUR,AL,356092216,4,"Public, 2-year",3633,4645,8278,0,0,0,0,0,0,0,0,0,1,1,1
101514002,John C Calhoun State Community College,Calhoun Community College Huntsville,102B Wynn Drive,Huntsville,AL,35805,4,"Public, 2-year",3633,4645,8278,0,0,0,0,0,0,0,0,0,1,1,1
101514004,John C Calhoun State Community College,Alabama Center for the Arts,133 2nd Avenue NE,Decatur,AL,35601,4,"Public, 2-year",3633,4645,8278,0,0,0,0,0,0,0,0,0,1,1,1
101569001,Lawson State Community College,Lawson State Community College,3060 WILSON RD SW,BIRMINGHAM,AL,352211717,4,"Public, 2-year",960,1863,2823,0,0,0,0,0,0,0,0,1,1,1,1
101569002,Lawson State Community College,Bessemer Campus,1100 9th Ave SW,Bessemer,AL,35022,4,"Public, 2-year",960,1863,2823,0,0,0,0,0,0,0,0,0,1,1,1
101587001,University of West Alabama,University of West Alabama,STATION 1,LIVINGSTON,AL,35470,1,"Public, 4-year or above",1446,4288,5734,0,2,0,0,3,0,0,0,0,1,1,1
101602001,Lurleen B Wallace Community College,Main Campus,1000 Dannelly Blvd.,ANDALUSIA,AL,364201418,4,"Public, 2-year",730,936,1666,0,0,0,0,0,0,0,0,0,1,1,1
101602002,Lurleen B Wallace Community College,Lurleen B. Wallace Community College-MacArthur Cam,1708 N. Main Street,Opp,AL,36467,4,"Public, 2-year",730,936,1666,0,0,0,0,0,0,0,0,0,1,1,1
101602003,Lurleen B Wallace Community College,Lurleen B. Wallace Community College-Greenville Ca,750 Greenville Bypass,Greenville,AL,36037,4,"Public, 2-year",730,936,1666,0,0,0,0,0,0,0,0,0,1,1,1
101648001,Marion Military Institute,Main Campus,1101 Washington St.,Marion,AL,36756,4,"Public, 2-year",285,116,401,0,0,0,0,0,0,0,0,0,1,1,1
101675001,Miles College,Miles College,5500 Myron Massey Blvd,Fairfield,AL,35064,2,"Private nonprofit, 4-year or above",674,766,1440,1,0,1,0,0,0,0,0,0,1,1,1
101693001,University of Mobile,University of Mobile,5735 College Parkway,MOBILE,AL,366132842,2,"Private nonprofit, 4-year or above",698,1318,2016,0,0,0,0,0,0,0,0,0,1,1,1
101709001,University of Montevallo,University of Montevallo,STATION 6001,MONTEVALLO,AL,35115,1,"Public, 4-year or above",873,1727,2600,0,1,1,0,0,1,0,0,0,1,1,1
101736001,Northwest-Shoals Community College,Shoals Campus,800 GEORGE WALLACE BLVD,MUSCLE SHOALS,AL,35661,4,"Public, 2-year",1346,2014,3360,0,3,0,0,0,0,0,0,0,1,1,1
101736002,Northwest-Shoals Community College,Phil Campbell Campus,2080 College Road,Phil Campbell,AL,35581,4,"Public, 2-year",1346,2014,3360,0,0,0,0,0,0,0,0,0,1,1,1
101879001,University of North Alabama,Main Campus,1 Harrison Plaza- UNA Box 5067,FLORENCE,AL,356320001,1,"Public, 4-year or above",3039,5047,8086,0,8,9,0,11,1,0,3,0,1,1,1
101879002,University of North Alabama,East Campus,1640 tune av.,florence,AL,35630,1,"Public, 4-year or above",3039,5047,8086,0,0,0,0,0,0,0,0,0,1,1,1
101897001,Northeast Alabama Community College,Northeast Alabama Community College,P.O. Box 159  / 138 Alabama Hwy 35,Rainsville,AL,35986,4,"Public, 2-year",911,1619,2530,0,0,0,0,0,0,0,0,0,1,1,1
101912001,Oakwood University,Oakwood University,7000 ADVENTIST BLVD NW,HUNTSVILLE,AL,358960003,2,"Private nonprofit, 4-year or above",576,798,1374,0,0,0,0,0,0,0,0,0,1,1,1
101994001,Reid State Technical College,Main Campus,100 HWY 83,EVERGREEN,AL,36401,4,"Public, 2-year",130,149,279,0,0,0,0,0,0,0,0,0,1,1,1
102030001,Bishop State Community College,Main Campus,351 NORTH BROAD STREET,MOBILE,AL,366035898,4,"Public, 2-year",744,1432,2176,0,0,0,0,0,0,0,0,0,1,1,1
102030002,Bishop State Community College,Central Campus,1365 Dr. Martin Luther King Blvd.,Mobile,AL,36603,4,"Public, 2-year",744,1432,2176,0,0,0,0,0,0,0,0,0,1,1,1
102030003,Bishop State Community College,Carvar Campus,414 Stanton Rd.,Mobile,AL,36617,4,"Public, 2-year",744,1432,2176,0,0,0,0,0,0,0,0,0,1,1,1
102030004,Bishop State Community College,SouthWest Campus,925 Dauphin Island Parkway,Mobile,AL,36605,4,"Public, 2-year",744,1432,2176,0,0,0,0,0,0,0,0,0,1,1,1
102049001,Samford University,Main Campus,800 Lakeshore Drive,Birmingham,AL,352292240,2,"Private nonprofit, 4-year or above",1887,3842,5729,1,0,0,1,0,0,0,2,0,1,1,1
102049002,Samford University,Daniel House at Samford University London Study Center,"12 Ashburn Gardens, Kensington",London,,SW7 4DG,2,"Private nonprofit, 4-year or above",1887,3842,5729,0,0,0,0,0,0,0,0,0,1,1,1
102067001,Shelton State Community College,Martin Campus,9500 OLD GREENSBORO RD,TUSCALOOSA,AL,35405,4,"Public, 2-year",1580,2163,3743,0,0,0,0,0,0,0,0,0,1,1,1
102067002,Shelton State Community College,"Shelton State Community College, C. A. Fredd Campus",3401 MARTIN LUTHER KING BLVD,TUSCALOOSA,AL,354013541,4,"Public, 2-year",1580,2163,3743,0,0,0,0,0,0,1,1,1,1,1,1
102076001,Snead State Community College,Main Campus,P.O. Box 734,BOAZ,AL,359570734,4,"Public, 2-year",742,1264,2006,0,0,0,0,0,1,0,1,0,1,1,1
102076003,Snead State Community College,Aviation College at Snead State ,24 Aviation Way,Albertville,AL,35950,4,"Public, 2-year",742,1264,2006,,,,,,,0,0,0,0,0,1
102094001,University of South Alabama,Main Campus,307 N UNIVERSITY BLVD,MOBILE,AL,366880002,1,"Public, 4-year or above",4562,9662,14224,1,11,0,0,9,1,4,7,0,1,1,1
102094011,University of South Alabama,USA Fairhope,111 St. James Ave.,Fairhope,AL,36532,1,"Public, 4-year or above",4562,9662,14224,0,0,0,0,0,0,0,0,0,1,1,1
102234001,Spring Hill College,Spring Hill College,4000 DAUPHIN ST,MOBILE,AL,366081791,2,"Private nonprofit, 4-year or above",486,705,1191,0,0,0,0,0,0,0,0,0,1,1,1
102270001,Stillman College,Stillman College,3601 Stillman Boulevard,TUSCALOOSA,AL,35401,2,"Private nonprofit, 4-year or above",328,384,712,0,0,0,0,0,0,0,0,0,1,1,1
102298001,Talladega College,Talladega College Main Campus,627 W BATTLE ST,TALLADEGA,AL,35160,2,"Private nonprofit, 4-year or above",574,582,1156,1,2,0,2,2,1,0,0,0,1,1,1
102313001,H Councill Trenholm State Community College,Main Campus - Trenholm Campus,P.O. Box 10048,MONTGOMERY,AL,361083199,4,"Public, 2-year",589,937,1526,0,0,0,0,0,0,0,0,0,1,1,1
102313002,H Councill Trenholm State Community College,Patterson Campus,3920 Troy Highway,MONTGOMERY,AL,36116,4,"Public, 2-year",589,937,1526,,,,,,,0,0,0,0,0,1
102368001,Troy University,Troy Campus,University Avenue,TROY,AL,360820001,1,"Public, 4-year or above",6123,10374,16497,3,40,19,0,7,0,0,0,0,1,1,1
102368002,Troy University,Phenix City Campus,1 University Place,Phenix City,AL,36869,1,"Public, 4-year or above",6123,10374,16497,0,0,0,0,0,0,0,0,0,1,1,1
102368003,Troy University,Montgomery Campus,231 Montgomery Street,Montgomery,AL,361034419,1,"Public, 4-year or above",6123,10374,16497,0,0,0,0,0,0,0,0,0,1,1,1
102368004,Troy University,Dothan Campus,501 University Drive,Dothan,AL,363040368,1,"Public, 4-year or above",6123,10374,16497,0,2,0,0,0,0,0,0,0,1,1,1
102368005,Troy University,Atlantic Region,2743 Perimeter Parkway,Augusta,GA,30907,1,"Public, 4-year or above",6123,10374,16497,0,0,0,0,0,0,0,0,0,1,1,1
102368006,Troy University,Florida Region,"81 Beal Parkway, S. E.",Fort Walton Beach,FL,32548,1,"Public, 4-year or above",6123,10374,16497,0,0,0,0,0,0,0,0,0,1,1,1
102368007,Troy University,Southeast Region,2743 Perimeter Parkway,Augusta,GA,30907,1,"Public, 4-year or above",6123,10374,16497,0,0,0,0,0,0,0,0,0,1,1,1
102368008,Troy University,Western Region,81 Beal Parkway Southeast,Ft. Walton Beach ,FL,32548,1,"Public, 4-year or above",6123,10374,16497,0,0,0,0,0,0,0,0,0,1,1,1
102377001,Tuskegee University,TUSKEGEE UNIVERSITY,"Kresge Center, 3rd Floor RM 310 Tuskegee Univ.",Tuskegee,AL,360881920,2,"Private nonprofit, 4-year or above",935,1812,2747,1,2,0,1,2,0,0,0,0,1,1,1
102395001,United States Sports Academy,Main Campus,ONE ACADEMY DR,DAPHNE,AL,365267055,2,"Private nonprofit, 4-year or above",250,88,338,0,0,0,0,0,0,0,0,0,1,1,1
102429001,Bevill State Community College,Bevill State Community College Jasper (Main) Campus,1411 Indiana Avenue,Jasper,AL,35501,4,"Public, 2-year",1302,1902,3204,0,0,0,0,0,0,0,0,0,1,1,1
102429002,Bevill State Community College,Sumiton Campus,101 State Street,Sumiton,AL,35148,4,"Public, 2-year",1302,1902,3204,,,,0,0,0,0,0,0,0,1,1
102429003,Bevill State Community College,Fayette Campus,2631 Temple Avenue North,Fayette,AL,35555,4,"Public, 2-year",1302,1902,3204,,,,0,0,0,0,0,0,0,1,1
102429004,Bevill State Community College,Hamilton Campus,1481 Military Street South,HAMILTON,AL,35570,4,"Public, 2-year",1302,1902,3204,,,,0,0,0,0,0,0,0,1,1
102553001,University of Alaska Anchorage,Anchorage Campus,3211 Providence Dr,Anchorage,AK,99508,1,"Public, 4-year or above",4566,7387,11953,0,0,10,0,2,7,0,3,2,1,1,1
102553002,University of Alaska Anchorage,Matanuska-Susitna College,8274 E. College Road,Palmer,AK,99645,1,"Public, 4-year or above",4566,7387,11953,0,0,0,0,0,0,0,0,0,1,1,1
102553003,University of Alaska Anchorage,Kenai Peninsula College - Kenai River Campus,156 College Road,Soldotna,AK,99669,1,"Public, 4-year or above",4566,7387,11953,0,0,0,0,2,2,0,0,0,1,1,1
102553004,University of Alaska Anchorage,Kenai Peninsula College - Kachemak Bay Campus,533 E. Pioneer Avenue,Homer,AK,996037624,1,"Public, 4-year or above",4566,7387,11953,0,0,0,0,0,0,0,0,0,1,1,1
102553005,University of Alaska Anchorage,Kodiak College,117 Benny Benson Drive,Kodiak,AK,99615,1,"Public, 4-year or above",4566,7387,11953,0,0,0,0,0,0,0,0,0,1,1,1
102553007,University of Alaska Anchorage,Prince William Sound College,303 Lowe St,Valdez,AK,99686,1,"Public, 4-year or above",4566,7387,11953,0,0,0,0,0,1,0,0,0,1,1,1
102553009,University of Alaska Anchorage,Aviation Technology Complex,2811 Merrill Field Drive,Anchorage,AK,99501,1,"Public, 4-year or above",4566,7387,11953,0,0,0,0,0,0,0,0,0,1,1,1
102580001,Alaska Bible College,Main Campus,248 E. Elmwood Ave.,Palmer,AK,99645,2,"Private nonprofit, 4-year or above",25,15,40,0,0,0,0,0,0,0,0,0,1,1,1
102614001,University of Alaska Fairbanks,University of Alaska Fairbanks,P.O. Box 757500,FAIRBANKS,AK,997757480,1,"Public, 4-year or above",2705,4108,6813,2,13,17,0,4,11,0,3,4,1,1,1
102614002,University of Alaska Fairbanks,Kuskokwim rural campus,201 Akiak Drive,Bethel,AK,995590368,1,"Public, 4-year or above",2705,4108,6813,0,0,0,0,0,0,0,0,0,1,1,1
102614003,University of Alaska Fairbanks,Northwest Campus,P.O. Box 400,Nome,AK,99762,1,"Public, 4-year or above",2705,4108,6813,0,0,0,0,0,0,0,0,0,1,1,1
102614004,University of Alaska Fairbanks,Bristol Bay rural campus,P.O. Box 1070,Dillingham,AK,99576,1,"Public, 4-year or above",2705,4108,6813,0,0,0,0,0,0,0,0,0,1,1,1
102614005,University of Alaska Fairbanks,Chukchi rural campus,P.O. Box 297,Kotzebue,AK,99752,1,"Public, 4-year or above",2705,4108,6813,0,0,0,0,0,0,0,0,0,1,1,1
102614007,University of Alaska Fairbanks,Community and Technical College,604 Barnette Street,Fairbanks,AK,99701,1,"Public, 4-year or above",2705,4108,6813,0,0,0,0,0,0,0,0,0,1,1,1
102614008,University of Alaska Fairbanks,Interior Alaska Campus-Tok,P.O. Box 464,Tok,AK,99780,1,"Public, 4-year or above",2705,4108,6813,0,0,0,0,0,0,0,0,0,1,1,1
102614009,University of Alaska Fairbanks,Interior Alaska Campus-Fort Yukon,P.O. Box 194,Fort Yukon,AK,99740,1,"Public, 4-year or above",2705,4108,6813,0,0,0,0,0,0,0,0,0,1,1,1
102614010,University of Alaska Fairbanks,Toolik Field Station,Milepost 284.5 Dalton Highway,Anaktuvuk Pass,AK,99721,1,"Public, 4-year or above",2705,4108,6813,,,,,,,0,0,0,0,0,1
102614011,University of Alaska Fairbanks,Seward Marine Center Campus,201 Third Avenue,Seward,AK,99664,1,"Public, 4-year or above",2705,4108,6813,,,,,,,0,0,0,0,0,1
102632001,University of Alaska Southeast,Main Campus/Auke Bay,11066 Auke Lake Way,JUNEAU,AK,99801,1,"Public, 4-year or above",682,1388,2070,0,0,0,0,0,0,0,0,0,1,1,1
102632002,University of Alaska Southeast,University of Alaska Southeast - Ketchikan,2600 7th Ave,Ketchikan,AK,99901,1,"Public, 4-year or above",682,1388,2070,0,0,0,0,0,0,0,0,0,1,1,1
102632003,University of Alaska Southeast,University of Alaska Southeast - Sitka,1332 Seward Avenue,Sitka,AK,99835,1,"Public, 4-year or above",682,1388,2070,0,0,0,0,0,0,0,0,0,1,1,1
102669001,Alaska Pacific University,Main Campus,4101 UNIVERSITY DR,ANCHORAGE,AK,99508,2,"Private nonprofit, 4-year or above",126,367,493,0,0,0,0,0,0,0,0,0,1,1,1
102711001,Alaska Vocational Technical Center,First Lake Campus,809 Second Avenue,SEWARD,AK,996640889,7,"Public, less-than 2-year",135,50,185,0,0,0,0,0,0,0,0,0,1,1,1
102711002,Alaska Vocational Technical Center,Residence Life Campus,516 3rd Avenue,Seward,AK,006640889,7,"Public, less-than 2-year",135,50,185,0,0,0,0,0,1,0,0,1,1,1,1
102711004,Alaska Vocational Technical Center,Port Avenue Campus,808 Port Avenue,Seward,AK,996640889,7,"Public, less-than 2-year",135,50,185,0,0,0,0,0,0,0,0,0,1,1,1
102711005,Alaska Vocational Technical Center,Applied Technology Campus,1900-1916 Leirer Ave and 1906 Alameda Avenue,Seward,AK,996640889,7,"Public, less-than 2-year",135,50,185,0,0,0,0,0,0,0,0,0,1,1,1
102845001,Charter College,Charter College-Anchorage,2221 E NORTHERN LIGHTS BLVD STE 120,ANCHORAGE,AK,99508,3,"Private for-profit, 4-year or above",470,1650,2120,0,0,0,0,0,0,0,0,0,1,1,1
102845002,Charter College,Charter College - Wasilla,721 W. Parks Highway,Wasilla,AK,99654,3,"Private for-profit, 4-year or above",470,1650,2120,0,0,0,0,0,0,0,0,0,1,1,1
102845003,Charter College,Charter College-Pasco,5278 Outlet Dr.,Pasco,WA,99301,3,"Private for-profit, 4-year or above",470,1650,2120,0,0,0,0,0,0,0,0,0,1,1,1
102845004,Charter College,Charter College - Oxnard,"2000 Outlet Center Dr., Suite 150",Oxnard,CA,93036,3,"Private for-profit, 4-year or above",470,1650,2120,0,0,0,0,0,0,0,1,0,1,1,1
102845006,Charter College,Charter College-Vancouver,17200 SE Mill Plain Blvd #100,Vancouver,WA,98683,3,"Private for-profit, 4-year or above",470,1650,2120,0,0,0,0,0,0,0,0,0,1,1,1
102845007,Charter College,Charter College - Fife,"3700 Pacific Highway East, Suite 150",Fife,WA,98424,3,"Private for-profit, 4-year or above",470,1650,2120,0,0,0,0,0,0,0,0,0,1,1,1
